Código;Descripción;Precio;Stock
6910LENM93P13GB;Ordenador Lenovo M93P SFF GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/DVD/W7P) Preinstalado;109;1 
6910LENM93P15GB;Ordenador Lenovo M93P SFF GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/DVD/W8P) Preinstalado;109;7 
6910LENM93P2GB;Ordenador Lenovo M93P SFF GRADO B (Intel Core i3 4130 3.4GHz/8GB/120SSD/DVDRW/W7P) Preinstalado;99;5 
6910LENM93P4GB;Ordenador Lenovo M93P SFF GRADO B (Intel Core i3 4130 3.4GHz/8GB/120SSD/NO-DVD/W7P) Preinstalado;99;7 
6910DO50501GA;Ordenador DELL Optiplex 5050 SFF GRADO A (Intel Core i5 7500 3.4Ghz/8GB/240SSD/DVD/W8P) Preinstalado;199;44 
6910DO50501GB;Ordenador DELL Optiplex 5050 SFF GRADO B (Intel Core I5 7500 3.4Ghz/8GB/240SSD/DVD/W8P) Preinstalado;225;1 
6910DO50502GA;Ordenador DELL Optiplex 5050 SFF GRADO A (Intel Core I5 7500 3.4Ghz/8GB/240SSD/DVD/W10P) Preinstalado;199;20 
6910DO70103GB;Ordenador Dell Optiplex 7010 SFF GRADO B (Intel Core i5 3470 3.2 Ghz/4GB/120SSD+500GB/DVDRW/W7P) Preinstalado;95;93 
6910FE7203GB;Ordenador Fujitsu Esprimo E720 SFF GRADO B (Intel Core i5 4460 3.2Ghz/8GB/240SSD/W8P) Preinstalado;235;1 
6910HP400G2.57GB;Ordenador HP 400 G2.5 SFF GRADO B (Intel Core i5 4570S 2.9Ghz/8GB/240SSD/DVD/W8HP) Preinstalado;165;1 
6910HP400G32GB;Ordenador HP Prodesk 400 G3 SFF GRADO B (Intel Core i5 6500 3.2Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;149;4 
6910HP400G33GB;Ordenador HP EliteDesk 400 G3 SFF GRADO B (Intel Core i5 6500 3.2Ghz/8GB/240SSD/DVD/W8P) Preinstalado;159;22 
6910HP600G25GA;Ordenador HP Prodesk 600 G2 SFF GRADO A (Intel Core i5 6500 3.2GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;169;4 
6910HP600G25GB;Ordenador HP Prodesk 600 G2 SFF GRADO B (Intel Core i5 6500 3.2GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;219;8 
6910HP600G26GB;Ordenador HP Prodesk 600 G2 SFF GRADO B (Intel Core i5 6500 3.2GHz/8GB/240SSD/NO-DVD/W7P) Preinstalado;209;1 
6910HP600G31GB;Ordenador HP Prodesk 600 G3 SFF GRADO B (Intel Core i5 7400 3.0GHz/8GB/256SSD/NO-DVD/W8P) Preinstalado;175;37 
6910HP800G32GB;Ordenador HP EliteDesk 800 G3 SFF GRADO B (Intel Core i5 7400 3.0Ghz/8GB/240SSD/DVD/W10P) Preinstalado;185;61 
6910HP800G33GB;Ordenador HP 800 G3 SFF GRADO B (Intel Core i5 7400 3.0Ghz/8GB/240SSD/DVD/W8P) Preinstalado;169;3 
