Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;MPN;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
; ;Ordenador Lenovo M92;Ordenadores,Sobremesas SFF ;129; ; ; ; ; ; ; ;6910LENM92P9GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 3470 3.20GHz/4GB/500GB/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO, con Preinstalación de Windows 10<br /><br />Ordenador de sobremesa<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     Lenovo<br />· Procesador     Intel Core i5 3470 (4 nucleos @ 3.20 Ghz)<br />· Disco Duro     500GB SATA HDD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3<br />· Lector/Grabador    Lector de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x2 USB 2.0, x4 USB 3.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x3 Jack de audio    (Line In/Out/Mic)<br /> <br /><br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenm92p9gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:500GB:2:0, Procesador:Intel i5:3:0, Sistema operativo:Windows 7:4:0, Marca:Lenovo:5:0, Tipo:Sobremesa SFF:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Lenovo M92;Ordenadores,Sobremesas SFF ;115; ; ; ; ; ; ; ;6910LENM9P2GB; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ; (Intel Core i5 3470T 2.90GHz/8GB/120SSD/DVDRW/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     Lenovo<br />· Procesador     Intel Core i5 3470T  (4 nucleos @ 2.90 Ghz)<br />· Gráficos HD Intel 2500<br />· Disco Duro     120GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB PC3 ( 4 ZOCALOS)<br />· Lector/Grabador    Grabadora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 3.0, x2 USB 2.0 x1 VGA, x1 Displayport, x1 Puerto Serie, x1 RJ45, x3 Jack de audio    (Line In/Out/Mic)<br />· Conexiones interas: x1 PCIe x16, x2 Pci x1<br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenm9p2gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 7:3:0, Marca:Lenovo:4:0, Tipo:Sobremesa SFF:5:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Fujitsu Es;Ordenadores,Sobremesas SFF ;259; ; ; ; ; ; ; ;6910FD7562GA; ; ; ; ; ; ; ; ; ; ; ; ; ;14; ; ; ; ; ; ; ; (Intel Core i7 6700T 2.8Ghz/16GB/256SSD/DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO A<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     Fujitsu<br />· Procesador                    Intel Core i7 6700T (4 nucleos @ 2.80 Ghz)<br />· Grafica                          Gráficos HD Intel 530<br />· Disco Duro                     256 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias                      16GB DDR4 (4 zocalos)<br />· Lector/Grabador            Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0 x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x4 USB 3.0, x2 USB 2.0, x2 DisplayPort, x1 DVI, x1 RJ45, x2 Puertos P/s2, x2 Puerto Serie, x2 Jack de audio    (Line In/Out/Mic) <br />· Otras conexiones           (1) PCIe X16, (1) PCIe X4, (2) PCIe X1<br /><br /><br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910fd7562ga_1.jpg; ; ;Memoria RAM:16GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Windows 8:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Fujitsu Es;Ordenadores,Sobremesas SFF ;345; ; ; ; ; ; ; ;6910FD7563GA; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i7 6700T 2.8Ghz/8GB/256SSD/DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO A<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     Fujitsu<br />· Procesador                    Intel Core i7 6700T (4 nucleos @ 2.80 Ghz)<br />· Grafica                          Gráficos HD Intel 530<br />· Disco Duro                     256 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias                      8GB DDR4 (4 zocalos)<br />· Lector/Grabador            Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0 x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x4 USB 3.0, x2 USB 2.0, x2 DisplayPort, x1 DVI, x1 RJ45, x2 Puertos P/s2, x2 Puerto Serie, x2 Jack de audio    (Line In/Out/Mic) <br />· Otras conexiones           (1) PCIe X16, (1) PCIe X4, (2) PCIe X1<br /><br /><br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910fd7563ga_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Windows 8:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Fujitsu Es;Ordenadores,Sobremesas SFF ;199; ; ; ; ; ; ; ;6910FE7201GB; ; ; ; ; ; ; ; ; ; ; ; ; ;26; ; ; ; ; ; ; ; (Intel Core i7 4790 3.6Ghz/8GB/240SSD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 8 PRO.<br /><br />Ordenador de SFF<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca                             Fujitsu<br />· Procesador                     Intel Core i7 4790 (4 nucleos @ 3.6 Ghz)<br />· Gráfica                           HD Intel 4600<br />· Disco Duro                     240GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias                       8GB DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V  (4 zocalos)<br />· Lector/Grabador            NO<br />· Conexiones frontales     x4 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares, x1 lector de tarjetas<br />· Conexiones traseras     x4 USB 2.0, x2 USB 3.0, x1 VGA, x1 DVI, x1 DisplayPort, x1 RJ45, x2 Puertos P/s2, x3 Jack de audio, x1 Puerto Serie <br />· Otras conexiones    x1 PCI Express 3.0 x16 1x PCI Express 2.0 x4 (mech. x16) 1x PCI Express x1 1x PCI Express 32-bit<br /><br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910fe7201gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Sin S.O.:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP Prodesk;Ordenadores,Sobremesas SFF ;149; ; ; ; ; ; ; ;6910HP600G132GB; ; ; ; ; ; ; ; ; ; ; ; ; ;175; ; ; ; ; ; ; ; (Intel Core i7 4770 3.4GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca                  HP<br />· Procesador         Intel Core i7 4770 (4 nucleos @ 3.40 Ghz)<br />· Gráfica               Gráficos HD Intel 4600<br />· Disco Duro          240 GB SSD SATA (Varias marcas, segun disponibilidad)<br />· Memorias           8GB DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V<br />· Lector/Grabador   NO <br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0 x1 Micrófono, x1 Altavoces/Auriculares<br />· Conexiones traseras     x4 USB 2.0, x2 USB 3.0, x2 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x1 Puerto Serie, x2 Jack de audio    (Line In/Out/Mic)<br />· Otras conexiones  (3) PCI Express x1 PCI Express x16<br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp600g132gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Windows 8:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP Prodesk;Ordenadores,Sobremesas SFF ;149; ; ; ; ; ; ; ;6910HP600G133GB; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; (Intel Core i7 4770S 3.1GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca                  HP<br />· Procesador         Intel Core i7 4770S (4 nucleos @ 3.10 Ghz)<br />· Gráfica               Gráficos HD Intel 4600<br />· Disco Duro          240 GB SSD SATA (Varias marcas, segun disponibilidad)<br />· Memorias           8GB DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V<br />· Lector/Grabador   NO <br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0 x1 Micrófono, x1 Altavoces/Auriculares<br />· Conexiones traseras     x4 USB 2.0, x2 USB 3.0, x2 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x1 Puerto Serie, x2 Jack de audio    (Line In/Out/Mic)<br />· Otras conexiones  (3) PCI Express x1 PCI Express x16<br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp600g133gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Windows 8:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP EliteDe;Ordenadores,Sobremesas SFF ;179; ; ; ; ; ; ; ;6910HPED800G121GB; ; ; ; ; ; ; ; ; ; ; ; ; ;179; ; ; ; ; ; ; ; (Intel Core i7 4770 3.40GHz/8GB/480SSD/DVDRW/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 8 PRO<br /><br />Ordenador de SFF<br /> <br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador                    Intel Core i7 4770 (4 nucleos @ 3.40 Ghz)<br />· Grafica interna              Gráficos HD Intel 4600<br />· Disco Duro                     480 SSD SATA (Varias marcas, segun disponibilidad)<br />· Memorias                      8GB DDR3 (4 ZOCALOS)<br />· Lector/Grabador            Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0 x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x2 USB 3.0, x2 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x1 Puerto Serie, x2 Jack de audio    (Line In/Out/Mic) <br />·Conexiones internas       x1 Pcie x16, x2 Pcie x1, x1 Pcie x4<br /><br /><br /><br /><br />-  Incluyen Sistema Operativo Preinstalado Windows 10 Pro<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hped800g121gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Windows 7:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Lenovo M72;Ordenadores,Sobremesas SFF ;115; ; ; ; ; ; ; ;6910LENM72E5GB; ; ; ; ; ; ; ; ; ; ; ; ; ;65; ; ; ; ; ; ; ; (Intel Core i7 3770 3.40GHz/8GB/120SSD/DVDRW/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     Lenovo<br />· Procesador     Intel Core i7 3770  (4 nucleos @ 3.40 Ghz)<br />· Gráficos HD Intel 4000<br />· Disco Duro     120GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB PC3 ( 2 ZOCALOS)<br />· Lector/Grabador    Grabadora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x1 VGA, x1 DVI, x1 Puerto Serie, x1 RJ45, x3 Jack de audio    (Line In/Out/Mic)<br />· Conexiones interas: x1 PCIe x16, x2 Pci x1<br /><br /><br /><br />- Incluyen Sistema Operativo Preinstalado Windows 10 Pro<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenm72e5gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Windows 7:3:0, Marca:Lenovo:4:0, Tipo:Sobremesa SFF:5:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 6005 El;Ordenadores,Sobremesas SFF ;55; ; ; ; ; ; ; ;6910HP60053GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (AMD Athlon II X2 B24 3.0Ghz/4GB/120SSD/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO<br /><br />GRADO B <br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     AMD Athlon X2 B24 (2 nucleos @ 3.0 Ghz)<br />· Grafica            Radeon 4200 <br />· Disco Duro     120GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3 (4 zocalos)<br />· Lector/Grabador     Lectora de DVD<br />· Conexiones frontales     x4 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x6 USB 2.0, x1 DisplayPort, x1 VGA, x1 RJ45, x1 Puerto Serie, x2 PS/2 Raton/Teclado, x2 Jack de audio (Line In/Out) <br /><br /><br />- Incluyen Sistema Operativo Preinstalado Windows 10 Pro<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp60053gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Procesador:AMD:2:0, Sistema operativo:Windows 7:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 705 G1 ;Ordenadores,Sobremesas SFF ;85; ; ; ; ; ; ; ;6910HP705G12GB; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; (AMD A6 7400B 3.5GHz/4GB/120SSD/DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia Windows 8 Pro<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador    AMD A6 7400B  (4 nucleos @ 3.5 Ghz)<br />· Grafica integrada AMD Radeon R5<br />· Disco Duro     120GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3L<br />· Lector/Grabador    NO<br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x2 USB 3.0, x2 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x1 Puerto Serie, x2 Jack de audio    (Line In/Out/Mic) <br /><br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp705g12gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Procesador:AMD:2:0, Sistema operativo:Windows 8:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 705 G1 ;Ordenadores,Sobremesas SFF ;85; ; ; ; ; ; ; ;6910HP705G15GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (AMD A6 7400B 3.5GHz/4GB/120SSD/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia Windows 7 Pro<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador    AMD A6 7400B  (4 nucleos @ 3.5 Ghz)<br />· Grafica integrada AMD Radeon R5<br />· Disco Duro     120GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3L<br />· Lector/Grabador    NO<br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x2 USB 3.0, x2 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x1 Puerto Serie, x2 Jack de audio    (Line In/Out/Mic) <br /><br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp705g15gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Procesador:AMD:2:0, Sistema operativo:Windows 7:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 705 G2 ;Ordenadores,Sobremesas SFF ;85; ; ; ; ; ; ; ;6910HP705G23GB; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ; (AMD A6 8550B 3.7GHz/4GB/120SSD/DVD/W8H) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia Windows 8 HOME<br /><br />GRADO B<br /><br />Ordenador de Sobremesa<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador    AMD A6 8550B  (2 nucleos @ 3.7 Ghz)<br />· Grafica integrada AMD RADEON R5<br />· Disco Duro     120 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3<br />· Lector/Grabador    Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x2 USB 3.0, x1 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x1 Puerto Serie, x2 Jack de audio    (Line In/Out/Mic) <br /><br /><br /><br />- Incluyen Sistema Operativo Windows 10 HOME Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp705g23gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Procesador:AMD:2:0, Sistema operativo:Windows 8:3:0, Marca:HP:4:0, Tipo:Sobremesa SFF:5:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 800 G1 ;Ordenadores,Sobremesas USDT ;95; ; ; ; ; ; ; ;6910HPU800G116GB; ; ; ; ; ; ; ; ; ; ; ; ; ;69; ; ; ; ; ; ; ; (Intel Core i3 4130 3.4GHz/8GB/120SSD/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 Pro<br /><br />Ordenador UltraCompacto Sobremesa<br /><br />GRADO B<br /><br />Especificaciones:<br /> <br />· Marca                                  HP<br />· Procesador                          Intel Core  i3 4130 3.4Ghz (2 nucleos)<br />· Grafica                                Gráficos HD 4400 Intel<br />· Disco Duro                          120GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias                           8GB DDR3L (2 zocalos)<br />· Lector/Grabador                 NO<br />· Conexiones frontales          x2 USB 2.0, x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras           x4USB 2.0, x2 USB 3.0, x2 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x2 Jack de audio    (Line In/Out/Mic) <br />· Otras conexiones       x1 PCI<br /><br /><br />- Sistema Operativo Windows 10 Pro Preinstalado<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hpu800g116gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i3:2:0, Sistema operativo:Windows 8:3:0, Tipo:Sobremesa USDT:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 800 G1 ;Ordenadores,Sobremesas USDT ;95; ; ; ; ; ; ; ;6910HPU800G128GB; ; ; ; ; ; ; ; ; ; ; ; ; ;57; ; ; ; ; ; ; ; (Intel Core i3 4130 3.4GHz/8GB/120SSD/NO-DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 Pro<br /><br />Ordenador UltraCompacto Sobremesa<br /><br />GRADO B<br /><br />Especificaciones:<br /> <br />· Marca                                  HP<br />· Procesador                          Intel Core  i3 4130 3.4Ghz (2 nucleos)<br />· Grafica                                Gráficos HD 4400 Intel<br />· Disco Duro                          120GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias                           8GB DDR3 (2 zocalos)<br />· Lector/Grabador                 NO<br />· Conexiones frontales          x2 USB 2.0, x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras           x4USB 2.0, x2 USB 3.0, x2 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x2 Jack de audio    (Line In/Out/Mic) <br />· Otras conexiones       x1 PCI<br /><br /><br />- Sistema Operativo Windows 10 Pro Preinstalado<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hpu800g128gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i3:2:0, Sistema operativo:Windows 7:3:0, Tipo:Sobremesa USDT:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 800 G1 ;Ordenadores,Sobremesas USDT ;95; ; ; ; ; ; ; ;6910HPU800G129GB; ; ; ; ; ; ; ; ; ; ; ; ; ;47; ; ; ; ; ; ; ; (Intel Core i3 4130 3.4GHz/8GB/120SSD/NO-DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 Pro<br /><br />Ordenador UltraCompacto Sobremesa<br /><br />GRADO B<br /><br />Especificaciones:<br /> <br />· Marca                                  HP<br />· Procesador                          Intel Core  i3 4130 3.4Ghz (2 nucleos)<br />· Grafica                                Gráficos HD 4400 Intel<br />· Disco Duro                          120GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias                           8GB DDR3 (2 zocalos)<br />· Lector/Grabador                 NO<br />· Wifi                                     SI<br />· Conexiones frontales          x2 USB 2.0, x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras           x4USB 2.0, x2 USB 3.0, x2 DisplayPort, x1 VGA, x1 RJ45, x2 Puertos P/s2, x2 Jack de audio    (Line In/Out/Mic) <br />· Otras conexiones       x1 PCI<br /><br /><br />- Sistema Operativo Windows 10 Pro Preinstalado<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hpu800g129gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i3:2:0, Sistema operativo:Windows 7:3:0, Tipo:Sobremesa USDT:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
